Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000dsu0,2,"Thursday, November 15, 2012 00:00:06 UTC",-5.8023,151.7226,4.8,8.80,42,"New Britain region, Papua New Guinea"
ci,15245337,0,"Wednesday, November 14, 2012 23:58:34 UTC",33.4595,-116.5855,1.0,10.70,29,"Southern California"
nc,71886391,0,"Wednesday, November 14, 2012 23:48:30 UTC",38.7635,-122.7145,1.0,2.20,13,"Northern California"
us,c000dssh,8,"Wednesday, November 14, 2012 23:41:53 UTC",-5.7427,151.5574,5.4,6.00,125,"New Britain region, Papua New Guinea"
ci,15245313,1,"Wednesday, November 14, 2012 23:25:38 UTC",33.5940,-116.6340,1.0,14.60,34,"Southern California"
hv,60431341,1,"Wednesday, November 14, 2012 23:24:02 UTC",19.2087,-155.3348,2.2,43.80,26,"Island of Hawaii, Hawaii"
ci,15245281,0,"Wednesday, November 14, 2012 22:57:24 UTC",34.8000,-118.9330,1.4,13.90,27,"Central California"
ci,15245273,0,"Wednesday, November 14, 2012 22:49:29 UTC",33.5885,-116.6350,1.1,14.90,42,"Southern California"
nc,71886286,1,"Wednesday, November 14, 2012 22:17:40 UTC",38.8023,-122.7782,1.3,3.70,21,"Northern California"
ci,15245265,0,"Wednesday, November 14, 2012 22:09:31 UTC",33.7015,-116.7572,1.0,16.00,47,"Southern California"
uw,60474562,1,"Wednesday, November 14, 2012 21:56:22 UTC",47.7648,-121.8700,1.0,6.40,11,"Puget Sound region, Washington"
nc,71886276,2,"Wednesday, November 14, 2012 21:46:19 UTC",37.3228,-122.1037,1.0,0.00, 9,"San Francisco Bay area, California"
uw,60474552,1,"Wednesday, November 14, 2012 21:29:21 UTC",48.2238,-121.7725,1.2,15.50,15,"Washington"
ci,15245249,0,"Wednesday, November 14, 2012 20:57:11 UTC",33.3157,-116.3300,1.4,11.20,53,"Southern California"
ci,15245225,0,"Wednesday, November 14, 2012 19:21:26 UTC",33.6415,-117.8133,1.8,12.50,13,"Greater Los Angeles area, California"
us,c000dski,7,"Wednesday, November 14, 2012 19:02:05 UTC",-29.1568,-71.2719,6.1,61.80,515,"Coquimbo, Chile"
hv,60431241,2,"Wednesday, November 14, 2012 18:55:05 UTC",19.3997,-155.2618,2.4,4.00,32,"Island of Hawaii, Hawaii"
ak,10600242,1,"Wednesday, November 14, 2012 18:50:57 UTC",61.8317,-149.2955,1.6,19.20, 4,"Southern Alaska"
ci,15245209,0,"Wednesday, November 14, 2012 18:45:37 UTC",34.0392,-116.6655,1.2,13.40,36,"Southern California"
us,c000dsj6,7,"Wednesday, November 14, 2012 18:22:31 UTC",-14.4505,173.7178,5.2,599.70,231,"Fiji region"
nc,71886206,0,"Wednesday, November 14, 2012 18:10:56 UTC",38.8275,-122.7997,1.2,0.00, 7,"Northern California"
nc,71886201,0,"Wednesday, November 14, 2012 18:10:21 UTC",37.4567,-118.8293,1.3,5.00,11,"Central California"
nc,71886161,0,"Wednesday, November 14, 2012 17:19:00 UTC",37.6433,-118.9495,1.1,7.30,17,"Long Valley area, California"
ak,10600204,1,"Wednesday, November 14, 2012 16:57:29 UTC",62.8946,-151.2800,1.9,136.80, 9,"Central Alaska"
ak,10600201,2,"Wednesday, November 14, 2012 16:52:13 UTC",52.1446,-173.5702,3.9,16.90,14,"Andreanof Islands, Aleutian Islands, Alaska"
ci,15245113,2,"Wednesday, November 14, 2012 16:48:38 UTC",36.3825,-117.8343,1.4,0.00,32,"Central California"
ak,10600193,2,"Wednesday, November 14, 2012 16:17:46 UTC",61.0279,-148.0158,1.3,10.00, 6,"Southern Alaska"
nc,71886146,0,"Wednesday, November 14, 2012 16:15:23 UTC",36.5723,-121.0392,1.7,7.70,12,"Central California"
ak,10600190,1,"Wednesday, November 14, 2012 16:13:38 UTC",57.4542,-142.7907,3.0,0.10,15,"Gulf of Alaska"
nc,71886141,2,"Wednesday, November 14, 2012 15:59:50 UTC",35.5688,-120.8260,1.3,5.60,48,"Central California"
nc,71886136,3,"Wednesday, November 14, 2012 15:59:07 UTC",36.2985,-120.8538,1.9,7.70,51,"Central California"
